Year,Year,tCO2e,Year Gain,Isometric Fee,Isometric Fee,Buffer VCUs,Buffer Fee
2026,0,17,17,$10.00,$166.56,3,$33.31
2027,1,2075,2058,$10.00,"$20,579.41",412,"$4,115.88"
2028,2,10798,8723,$10.00,"$87,234.92",1745,"$17,446.98"
2029,3,21535,10737,$6.00,"$64,419.99",2147,"$12,884.00"
2030,4,38898,17363,$10.00,"$173,629.47",3473,"$34,725.89"
2031,5,59994,21096,$10.20,"$215,179.68",4219,"$43,035.94"
2032,6,84898,24904,$10.40,"$259,099.58",4981,"$51,819.92"
2033,7,279369,194471,$6.12,"$1,190,162.57",38894,"$238,032.51"
2034,8,296622,17253,$6.24,"$107,701.91",3451,"$21,540.38"
2035,9,314179,17557,$6.37,"$111,789.71",3511,"$22,357.94"
2036,10,332017,17838,$6.49,"$115,848.78",3568,"$23,169.76"
2037,11,350112,18096,$6.62,"$119,875.89",3619,"$23,975.18"
2038,12,368444,18332,$6.76,"$123,868.08",3666,"$24,773.62"
2039,13,386991,18546,$6.89,"$127,822.61",3709,"$25,564.52"
2040,14,405730,18739,$7.03,"$131,736.99",3748,"$26,347.40"
2041,15,424642,18912,$7.17,"$135,608.91",3782,"$27,121.78"
2042,16,443706,19064,$7.31,"$139,436.29",3813,"$27,887.26"
2043,17,462904,19197,$7.46,"$143,217.23",3839,"$28,643.45"
2044,18,482215,19312,$7.61,"$146,950.01",3862,"$29,390.00"
2045,19,501623,19407,$7.76,"$150,633.08",3881,"$30,126.62"
2046,20,521108,19486,$7.92,"$154,265.04",3897,"$30,853.01"
2047,21,540655,19547,$8.08,"$157,844.65",3909,"$31,568.93"
2048,22,560247,19592,$8.24,"$161,370.81",3918,"$32,274.16"
2049,23,579867,19621,$8.40,"$164,842.55",3924,"$32,968.51"
2050,24,599502,19635,$8.57,"$168,259.04",3927,"$33,651.81"
2051,25,619136,19634,$8.74,"$171,619.54",3927,"$34,323.91"
2052,26,638756,19620,$8.92,"$174,923.45",3924,"$34,984.69"
2053,27,658348,19592,$9.09,"$178,170.24",3918,"$35,634.05"
2054,28,677900,19552,$9.28,"$181,359.53",3910,"$36,271.91"
2055,29,697399,19499,$9.46,"$184,490.97",3900,"$36,898.19"
2056,30,716835,19435,$9.65,"$187,564.33",3887,"$37,512.87"
2057,31,736195,19361,$9.84,"$190,579.47",3872,"$38,115.89"
2058,32,755471,19276,$10.04,"$193,536.29",3855,"$38,707.26"
2059,33,774651,19181,$10.24,"$196,434.79",3836,"$39,286.96"
2060,34,793728,19076,$10.45,"$199,275.02",3815,"$39,855.00"
2061,35,812691,18963,$10.66,"$202,057.09",3793,"$40,411.42"
2062,36,831534,18842,$10.87,"$204,781.19",3768,"$40,956.24"
2063,37,850247,18713,$11.09,"$207,447.52",3743,"$41,489.50"
2064,38,868824,18577,$11.31,"$210,056.37",3715,"$42,011.27"
2065,39,887258,18434,$11.53,"$212,608.04",3687,"$42,521.61"
2066,40,905543,18285,$11.76,"$215,102.91",3657,"$43,020.58"
Years,40,905543,905543,$8.26,"$7,481,550.49",181109,"$1,496,310.10"
,,,,,,,
Isometric Fee Schedule,,,,,,,
https://isometric.com/pricing,,,,,,,
** Model assumes inflation built in every 5 years,,,,,,,
,,,,,,,
Buffer Pool,,20.00%,,,,,
CPI,,2.00%,,,,,