Site Name,Start Date of Planting Event,End Date of Planting Event,Number of Trees Planted,Area Restored (hectares),# of Workers - Male vs Female,,Labor Rate or Wages Paid,Tree Species Planted,Sitio (Village),,Total number of trees planted,"244,446",Male participation,297
Reference Map,,,,,Males,Females,,,,,Total hectares restored,214.19,Female participation,14
Parcel 1,2024-9-12,2024-9-17,1512,2,3,1,Php  9/tree,"Molave-157
Narra-240
Alim-130
Pangi-130
Binunga-130
Matan-ag-220
Ylang-ylang-30
Bangkal-30
Tibig-30
Dapdap-15
Dao-50
Barobo-50
Ous-20
Kalingag-20
Cinamon-20
Bayok-20
Bagras-20
Lumbang-20
Bitaog-20
Igyo-20
Lanipao-20
Bangkal-70
Lumbang-50",Sitio Mangas-as,,,,,
Parcel 1,2025-1-20,2025-1-25,3505,3,10,0,Php  9/tree,"Tuai-110
Molave-536
Alim-426
Mitan-ag-195
Binunga-162
Kamansi-158
Narra-558
Ylang-ylang-30
Cinnamon-72
Bakan-20
Pangi-181
Lagnub-100
Ous-3
Maluggay-13
Ulayan-5
Red Nato-5
Biyante-2
Durian-500
Mangosteen-279
Lanzones-150",Sitio Likuyan,,,,,
Parcel 1,2025-2-20,2025-2-28,6293,3,10,0,Php  9/tree,"Tuai-20
Molave-640
Alim-1368
Mitan-ag-911
Binunga-335
Narra-1963
Tubog-112
Ylang-ylang-152
Cinnamon-2
Bakan-459
Lagnub-26
Ous-61
Maluggay-2
Ulayan-2
Red nato-1
Biyante-35
Ficus-3
White Lauan-100
Tindalo-21
Igio-42
Barobo-3
Malibago-3
Red Lauan-12
Dao-10
Bayok-5
Hangdong-5",Sitio Likuyan,,,,,
Parcel 5,2025-2-27,2025-3-10,12150,12,11,0,Php 8/tree,"Karingag-2000
Lauan-5000
Tinikaran- 1000
Basikong-1000
Ulayan-1000
Lagnob-800
Durian-175
Lanzones-129
Cacao-1046",Sitio Danga,,,,,
Parcel 3,2025-2-27,2025-3-10,18000,20,24,0,Php 8/tree,"Lagnob-5400
Kalingag-5200
Lauan-4100
Ulayan-3300",Sitio Laling,,,,,
Parcel 2,2025-2-27,2025-3-10,10800,12,23,0,Php 8/tree,"Lauan-1000
Uwayan-2500
Sagimsim-2500
Karingang-2000
Sabon-2000
Katic-800
",Sitio Laputan,,,,,
Parcel 1,2025-5-26,2025-6-7,15300,17,17,0,Php 9/tree,"Molave-5060
Narra-4771
Alim-1375
Bakan-1095
Mitan-ag-809
Binunga-448
Ilang-ilang-405
Igyo-245
Ous-192
Bangkal-187
Lagnub-183
Tubog-182
Tuai-132
Biyanti-61
Tindalo-54
Malibago-44
Ficus-42
Dapdap-7
Lumbang-4
Pangi-4",Sitio Likuyan,,,,,
Parcel 5,2025-5-26,2025-6-7,10800,12,11,0,Php 8/tree,"Lagnob-560
Basikong-1440
Kato-1000
Bakan-1,040
Pangge- 734
Lumbang-1000
Lauan- 3887
Uwayan-1139",Sitio Danga,,,,,
Parcel 1,2025-5-26,2025-6-7,7875,8.75,10,0,Php 9/tree,"Molave-2033
Bakan-571
Narra-3283
Tubog-44
Lagnub-20
Alim-841
Mitan-ag-381
Bangkal-50
Pangi-3
Dapdap-7
Malibago-2
Ilangilang-249
Binunga-251
Ficus-20
Lumbang-4
Ous-38
Biyanti-1
Igyo-52
Tuai-20
Kamansi-1
Tindalo-4",Sitio Mangas-as/Kisagay,,,,,
Parcel 5,2025-7-21,2025-08-01,10800,12,13,0,Php 8/tree,"Kato-500
Kalingag-4000
Lauan-3000
Basikong-1800
Pangge-1000
Uwayan-500",Sitio Danga,,,,,
Parcel 1,2025-7-21,2025-08-01,9000,10,16,0,Php 9/tree,"Molave-3698
Bakan-1409
Narra-2786
Tubog-33
Lagnub-7
Alim-559
Mitan-ag-220
Ilangilang-99
Binunga-131
Ficus-34
Tuai-24",Sitio Luyan/Mangas-as/Kisagay,,,,,
Parcel 3,2025-7-21,2025-08-01,18000,20,18,0,Php 8/tree,"Uwayan-5000
Tangili-4700
Lauan-6100
Toggop-2200
",Sitio Cabangbang/Laling,,,,,
Parcel 3,2025-8-28,2025-9-11,34125,15,24,0,Php 8/tree,"Kalingag -4265
Uwayan- 5700
Toggop-2900
Tanggili-4069
Lauan-5000
Almaciga-4200
Lagnob-3600
Basikong-991
Kamansi-3400",Sitio Laling,,,,,
Parcel 2,2025-8-28,2025-9-11,34125,15,29,1,Php 8/tree,"Cedar-9191
Ulayan-6263
Karingag-5725
Tinikaran-2935
Lawaan-10011",Sitio Laputan,,,,,
Parcel 1,2025-8-28,2025-9-11,8470,9.4,13,1,Php 9/tree,"Molave-2772
Bakan-1243
Narra-2938
Tubog-125
Lagnub-125
Alim-417
Mitan-ag-113
Bangkal-37
Pangi-7
Dapdap-3
Malibago-15
Ilangilang-147
Barobo-3
Binunga-29
Ficus-102
Bayok-236
Talisay-10
Lumbang-62
Ous-86",Sitio Mangas-as/Luyan/Kisagay,,,,,
Parcel 1,2025-11-17,2025-11-19,822,3,3,,Php 6/tree,"Durian-164
Cacao-400
Lanzones-129
Pomelo-129",Sitio Luyan,,,,,
Parcel 1,2025-11-26,2025-11-28,1975,0.5,5,1,Php 10/tree,"Narra-260
Kamansi-575
Kamagong-200
Molave-5
Bakan-403
Bitanghol-250
Kape-152
Durian-50
Bamboo-80",Sitio Sumani,,,,,
Parcel 1,2026-1-28,2026-2-7,4860,5.4,9,0,Php 6/tree,"Bakan-1800
Bitanghol-2085
Barobo-180
Kamansi-135
Narra-290
Kamagong-200",Sitio Luyan,,,,,
Parcel 5,2026-1-28,2026-2-7,810,0.9,1,2,Php 6/tree,"Bakan-300
Bitanghol-1065
Kamansi-100
Ulayan-100",Sitio Danga,,,,,
Parcel 1,2026-1-28,2026-2-7,5520,2.8,10,0,Php 6/tree,"Bakan-600
Bitanghol-1000
Barobo-610
Kamansi-125
Species A-115
Species B-19",Sitio Mangas-as,,,,,
Parcel 1,2026-1-28,2026-2-7,2810,2.1,5,2,Php 6/tree,"Sagimsim-1000
Species A-800
*Tanguile-1010",Sitio Likuyan,*for verification of tanguile and species A,,,,
Parcel 1,2026-3-2,2026-3-11,26007,26.72,28,4,Php 6/tree,"Bakan-7050
Kamagong-2159
Ulayan-1375
Narra-3663
Barobo-1813
Bitanghol-1975
Sagimsim-2686
Ph Maple-2015
Kamansi-550
Molave-2125
Antipolo-500
Kalingag-54
Dao-30
Bangkal-7
Alim-5",Sitio Luyan/Mangas-as,,,,,
Parcel 1,2026-3-2,2026-3-11,887,1.62,4,2,Php 6/tree,Molave-887,Sitio Laboo,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,244446,214.19,297,14,,,,,,,,